@lat;@lon;name;addr:suburb
-23.6628137;-46.6133775;Rua Chile;
-23.6620638;-46.6072756;Rua Luisiana;
-23.6625850;-46.6112145;Rua Rússia;
-23.6617977;-46.6150931;Rua Japão;
-23.6600306;-46.6090358;Rua Doutor Vital Brasil;
-23.6603878;-46.6104646;Rua Grã-Bretanha;
-23.6643160;-46.6081652;Rua Iraque;
-23.6559791;-46.5714652;Avenida Caminho do Mar;
-23.6631362;-46.6112861;Rua Dinamarca;
-23.6638139;-46.6115597;Rua Presidente Venceslau;
-23.6640554;-46.6106002;Rua Europa;
-23.6652329;-46.6107757;Rua São Paulo;
-23.6649825;-46.6116496;Rua Presidente Prudente;
-23.6658020;-46.6125062;Rua Ana Maria;
-23.6667990;-46.6113574;Rua Fortuna;
-23.6675658;-46.6104672;Rua Judith;
-23.6660787;-46.6108891;Rua Santa Catarina;
-23.6657186;-46.6104476;Rua Paraná;
-23.6662628;-46.6081882;Rua Nigéria;
-23.6655279;-46.6090152;Rua Paquistão;
-23.6641587;-46.6093221;Rua Filipinas;
-23.6605094;-46.6086434;Rua Venezuela;
-23.6603276;-46.6070509;Rua República;
-23.6589441;-46.6061560;Rua Santos;
-23.6543750;-46.5950204;Avenida Olinto Demarchi;
-23.6523819;-46.5957149;Avenida Octávio Corletto;
-23.6529228;-46.5947917;Avenida Orlando Ângelo Gastaldo;
-23.6525324;-46.5942179;Avenida Gionvanni Battistini;
-23.6672422;-46.5815597;Avenida Trinta e Um de Março;
-23.6639955;-46.5961006;Rua Carolina Carletto Negri;
-23.7918253;-46.5033598;Rodovia Caminho do Mar;
-23.6645465;-46.5558941;Avenida Lauro Gomes;
-23.6594473;-46.5586801;Avenida Prestes Maia;
-23.6595765;-46.5592451;Avenida Prestes Maia;
-23.6678753;-46.5764413;Avenida Trinta e Um de Março;
-23.6650480;-46.5690640;Avenida Caminho do Mar;
-23.6605609;-46.5702678;Avenida Caminho do Mar;
-23.6483331;-46.5862787;Avenida do Taboão;
-23.6479408;-46.5861335;Avenida do Taboão;
-23.6615287;-46.6054443;Avenida do Taboão;
-23.6482303;-46.5792527;Avenida do Taboão;
-23.6630109;-46.5925693;Rua Dráusio;
-23.6666892;-46.5932062;Rua Dezessete de Março;
-23.6679754;-46.5926686;Rua Martins;
-23.6682417;-46.5920378;Rua Lapa;
-23.6641602;-46.5884732;Rua Miragaia;
-23.6692747;-46.5834820;Rua Pacaembu;
-23.6719620;-46.5833118;Rua Pedro de Toledo;
